timestamp,keyword,tweet_text,sentiment_label,sentiment_score
2025-08-09 09:36:32+00:00,Mulyono,"@kompascom Wooooyyy...Sri Mulyono @KemenkeuRI tanpa guru loe tuh ga bakal jd org hebat.
Loe msh punya otak n hati kan?!",LABEL_0,0.4982798993587494
2025-08-09 09:35:14+00:00,Mulyono,"@susipudjiastuti MULYONO - MULYADI dua  orang INDONESIA ASLI YG dibenci BBRP WNK IMIGRAN dan pengikutnya yg hidungnya pesek, Aktifitasnya di FRAMING NEGATIF bbrp MEDIA yg baunya MENYENGAT PENDUKUNG WNK IMIGRAN.",LABEL_2,0.9758659601211548
2025-08-09 09:33:41+00:00,Mulyono,@__AnakKolong @KejaksaanRI @KemensetnegRI @ST_Burhanuddin Lhaaa dibekingi Mulyono jadi Arogan.,LABEL_2,0.9936843514442444
2025-08-09 09:33:22+00:00,Mulyono,@SeriDianawati Pengalihan issue sampe segini nya yahbanak buak mulyono ini ahahahaaayyy,LABEL_2,0.991568386554718
2025-08-09 09:33:01+00:00,Mulyono,"@KompasTV APH semua didalam cengkreraman Mulyono. 
Liat aja Silfester Matutina, Ade Armando, Bobby Nasution, Ijazah Palsu Mulyono. 
Semua APH tak ada yg berani bertindak diluar skenario",LABEL_2,0.9027314186096191
2025-08-09 09:32:53+00:00,Mulyono,@Kimberley_PS08 Awas samoean diterkam ternaknya Si Bajingan Tolol Mulyono Mba...🤣🤣🤣,LABEL_2,0.9930891394615173
2025-08-09 09:30:28+00:00,Mulyono,@kompascom Sri Mulyono,LABEL_1,0.9957154393196106
2025-08-09 09:29:57+00:00,Mulyono,@NenkMonica @KejariJaksel @Puspenkum @KejaksaanRI @MahkamahAgung Gw tunggu nyalinya untuk jemput paksa siplester ternak mulyono. Kalau sampai si splester termul di bui maka SiMulyono giginya sudah ompong &amp; tidak punya taji lagi.,LABEL_2,0.9912631511688232
2025-08-09 09:29:01+00:00,Mulyono,"@KompasTV Mimpi .... jangankan Mulyono, periksa mantunya aja ga bakalan berani.",LABEL_2,0.9727312922477722
2025-08-09 09:27:50+00:00,Mulyono,"@DenJkw @Kenikir27 @Kimberley_PS08 @BANGSAygSUJUD @prabowo @jokowi @gustavssondhela @jatmiko99604253 @KhoirilAnwar_ @tonybulumanu @Ndons_Back @are_inismyname @florieliciouss @satriamadang88 @99propaganda PENJILAT OMON-OMON
11 12 dengan 
PENJILAT MULYONO",LABEL_1,0.8408569097518921
2025-08-09 09:26:36+00:00,Mulyono,"@msaid_didu Kompas juga yang dulu ikut andil meng upgrade mulyono dan memuji mujinya setinggi langit hingga rakyat terkecoh lewat pencitraan jokowi melalui media massa termasuk Kompas, Media Indonesia dan Tempo. Seharusnya mereka juga ikut bertanggung jawab atas perbuatannya muji muji mukidi",LABEL_2,0.9617917537689209
2025-08-09 09:25:51+00:00,Mulyono,"@Jateng_Twit Wajahnya mirip2 identik dengan polisi yg memberikan keterangan prihal ijazah si Mulyono tuh,,,, apakah emang wajah2 begitu identik menyimpang kelakuan dan pemikirannya,,,,,,??",LABEL_2,0.9819990396499634
2025-08-09 09:24:57+00:00,Mulyono,"@JihadDrebond @xquitavee Kalo Ijazah palsu tergantung Kapolrinya, kalo udah di ganti sama orang Prabowo, baru dah ketar ketir si Mulyono dan Termul Termulnya.",LABEL_2,0.9955028891563416
2025-08-09 09:24:20+00:00,Mulyono,@exennt sri mulyono 😸,LABEL_1,0.9907349348068237
